2026-05-10T20:41:35.313844 start scheduler
2026-05-10T20:41:35.313899 start memcached [0,1,2,3] 4
798525 (process ID) old priority -17, new priority -17
798525 (process ID) old priority -17, new priority -17
798527 (process ID) old priority -17, new priority -17
798528 (process ID) old priority -17, new priority -17
798529 (process ID) old priority -17, new priority -17
798530 (process ID) old priority -17, new priority -17
798531 (process ID) old priority -17, new priority -17
798532 (process ID) old priority -17, new priority -17
798533 (process ID) old priority -17, new priority -17
798534 (process ID) old priority -17, new priority -17
798535 (process ID) old priority -17, new priority -17
2026-05-10T20:41:35.532634 custom memcached Reniced memcached to -17
2026-05-10T20:41:43.850232 start freqmine [0,1,2,3] 2
Memcached max thread CPU utilization: 40.000000000009095%
2026-05-10T20:41:46.915097 start barnes [0,1,2,3] 2
Memcached max thread CPU utilization: 30.00000000000682%
Memcached max thread CPU utilization: 29.00000000000773%
Memcached max thread CPU utilization: 20.000000000004547%
Memcached max thread CPU utilization: 19.000000000005457%
Memcached max thread CPU utilization: 17.999999999994998%
Memcached max thread CPU utilization: 19.000000000005457%
Memcached max thread CPU utilization: 19.000000000016826%
Memcached max thread CPU utilization: 22.99999999999045%
Memcached max thread CPU utilization: 23.00000000000182%
Memcached max thread CPU utilization: 22.99999999999045%
Memcached max thread CPU utilization: 23.00000000000182%
Memcached max thread CPU utilization: 23.00000000000182%
Memcached max thread CPU utilization: 18.000000000006366%
Memcached max thread CPU utilization: 15.999999999996817%
Memcached max thread CPU utilization: 17.999999999994998%
Memcached max thread CPU utilization: 17.000000000007276%
Memcached max thread CPU utilization: 25.00000000001137%
Memcached max thread CPU utilization: 48.00000000001319%
Memcached max thread CPU utilization: 46.00000000000364%
Memcached max thread CPU utilization: 46.00000000000364%
Memcached max thread CPU utilization: 46.00000000000364%
Memcached max thread CPU utilization: 45.00000000000455%
Memcached max thread CPU utilization: 46.00000000000364%
Memcached max thread CPU utilization: 46.00000000000364%
Memcached max thread CPU utilization: 44.99999999999318%
Memcached max thread CPU utilization: 45.00000000000455%
Memcached max thread CPU utilization: 43.00000000000637%
Memcached max thread CPU utilization: 40.99999999999682%
Memcached max thread CPU utilization: 41.99999999999591%
Memcached max thread CPU utilization: 40.000000000009095%
Memcached max thread CPU utilization: 41.000000000008185%
Memcached max thread CPU utilization: 25.99999999999909%
Memcached max thread CPU utilization: 17.000000000007276%
Memcached max thread CPU utilization: 16.999999999995907%
Memcached max thread CPU utilization: 18.000000000006366%
Memcached max thread CPU utilization: 17.000000000007276%
Memcached max thread CPU utilization: 9.000000000003183%
Memcached max thread CPU utilization: 6.000000000005912%
Memcached max thread CPU utilization: 4.9999999999954525%
Memcached max thread CPU utilization: 6.000000000005912%
Memcached max thread CPU utilization: 6.000000000005912%
Memcached max thread CPU utilization: 24.00000000000091%
Memcached max thread CPU utilization: 30.00000000000682%
Memcached max thread CPU utilization: 30.00000000000682%
Memcached max thread CPU utilization: 30.999999999994543%
Memcached max thread CPU utilization: 30.999999999994543%
Memcached max thread CPU utilization: 9.000000000003183%
Memcached max thread CPU utilization: 7.000000000005002%
Memcached max thread CPU utilization: 7.999999999992724%
Memcached max thread CPU utilization: 7.000000000005002%
Memcached max thread CPU utilization: 7.999999999992724%
Memcached max thread CPU utilization: 18.99999999999409%
Memcached max thread CPU utilization: 19.99999999999318%
Memcached max thread CPU utilization: 18.99999999999409%
Memcached max thread CPU utilization: 20.000000000004547%
Memcached max thread CPU utilization: 18.99999999999409%
Memcached max thread CPU utilization: 9.999999999990905%
Memcached max thread CPU utilization: 10.000000000002274%
Memcached max thread CPU utilization: 9.999999999990905%
Memcached max thread CPU utilization: 10.000000000013642%
Memcached max thread CPU utilization: 15.999999999996817%
Memcached max thread CPU utilization: 40.99999999999682%
Memcached max thread CPU utilization: 46.00000000000364%
Memcached max thread CPU utilization: 43.000000000017735%
Memcached max thread CPU utilization: 45.99999999999227%
Memcached max thread CPU utilization: 35.000000000002274%
Memcached max thread CPU utilization: 7.000000000005002%
Memcached max thread CPU utilization: 7.000000000016371%
Memcached max thread CPU utilization: 7.999999999992724%
Memcached max thread CPU utilization: 7.000000000005002%
Memcached max thread CPU utilization: 7.999999999992724%
Memcached max thread CPU utilization: 9.000000000003183%
Memcached max thread CPU utilization: 7.999999999992724%
Memcached max thread CPU utilization: 9.000000000003183%
Memcached max thread CPU utilization: 9.000000000003183%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 38.000000000010914%
Memcached max thread CPU utilization: 37.999999999999545%
Memcached max thread CPU utilization: 35.999999999989996%
Memcached max thread CPU utilization: 35.00000000001364%
Memcached max thread CPU utilization: 15.999999999996817%
Memcached max thread CPU utilization: 2.9999999999972715%
Memcached max thread CPU utilization: 4.000000000007731%
Memcached max thread CPU utilization: 4.000000000007731%
Memcached max thread CPU utilization: 5.000000000006821%
Memcached max thread CPU utilization: 17.000000000007276%
Memcached max thread CPU utilization: 25.00000000001137%
Memcached max thread CPU utilization: 24.00000000000091%
Memcached max thread CPU utilization: 24.00000000000091%
Memcached max thread CPU utilization: 24.00000000000091%
Memcached max thread CPU utilization: 12.999999999999545%
Memcached max thread CPU utilization: 10.000000000013642%
Memcached max thread CPU utilization: 11.000000000001364%
Memcached max thread CPU utilization: 10.000000000002274%
Memcached max thread CPU utilization: 10.000000000002274%
Memcached max thread CPU utilization: 39.000000000010004%
Memcached max thread CPU utilization: 46.00000000000364%
Memcached max thread CPU utilization: 42.999999999995%
Memcached max thread CPU utilization: 43.000000000017735%
Memcached max thread CPU utilization: 42.000000000007276%
Memcached max thread CPU utilization: 14.999999999997726%
Memcached max thread CPU utilization: 15.999999999996817%
Memcached max thread CPU utilization: 14.999999999997726%
Memcached max thread CPU utilization: 16.000000000008185%
Memcached max thread CPU utilization: 16.999999999995907%
Memcached max thread CPU utilization: 33.00000000000409%
Memcached max thread CPU utilization: 34.00000000000318%
Memcached max thread CPU utilization: 32.999999999992724%
Memcached max thread CPU utilization: 31.00000000001728%
Memcached max thread CPU utilization: 30.999999999994543%
Memcached max thread CPU utilization: 35.000000000002274%
Memcached max thread CPU utilization: 38.999999999998636%
Memcached max thread CPU utilization: 32.000000000005%
Memcached max thread CPU utilization: 32.000000000005%
Memcached max thread CPU utilization: 27.99999999999727%
Memcached max thread CPU utilization: 22.00000000000273%
Memcached max thread CPU utilization: 22.000000000014097%
