2026-05-10T20:21:11.383307 start scheduler
2026-05-10T20:21:11.383458 start memcached [0,1,2,3] 4
798525 (process ID) old priority -17, new priority -17
798525 (process ID) old priority -17, new priority -17
798527 (process ID) old priority -17, new priority -17
798528 (process ID) old priority -17, new priority -17
798529 (process ID) old priority -17, new priority -17
798530 (process ID) old priority -17, new priority -17
798531 (process ID) old priority -17, new priority -17
798532 (process ID) old priority -17, new priority -17
798533 (process ID) old priority -17, new priority -17
798534 (process ID) old priority -17, new priority -17
798535 (process ID) old priority -17, new priority -17
2026-05-10T20:21:11.584718 custom memcached Reniced memcached to -17
2026-05-10T20:21:19.921658 start freqmine [0,1,2,3] 2
Memcached max thread CPU utilization: 35.000000000002274%
2026-05-10T20:21:22.993056 start barnes [0,1,2,3] 2
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 27.000000000003865%
Memcached max thread CPU utilization: 20.000000000004547%
Memcached max thread CPU utilization: 18.999999999999773%
Memcached max thread CPU utilization: 20.000000000004547%
Memcached max thread CPU utilization: 18.999999999999773%
Memcached max thread CPU utilization: 20.000000000004547%
Memcached max thread CPU utilization: 24.00000000000091%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 24.00000000000091%
Memcached max thread CPU utilization: 24.00000000000091%
Memcached max thread CPU utilization: 20.000000000004547%
Memcached max thread CPU utilization: 17.00000000000159%
Memcached max thread CPU utilization: 17.00000000000159%
Memcached max thread CPU utilization: 18.000000000000682%
Memcached max thread CPU utilization: 18.99999999999409%
Memcached max thread CPU utilization: 32.99999999999841%
Memcached max thread CPU utilization: 47.999999999996135%
Memcached max thread CPU utilization: 44.00000000000546%
Memcached max thread CPU utilization: 45.999999999997954%
Memcached max thread CPU utilization: 44.99999999999886%
Memcached max thread CPU utilization: 45.999999999997954%
Memcached max thread CPU utilization: 44.99999999999886%
Memcached max thread CPU utilization: 46.00000000000364%
Memcached max thread CPU utilization: 45.999999999997954%
Memcached max thread CPU utilization: 45.999999999997954%
Memcached max thread CPU utilization: 41.0000000000025%
Memcached max thread CPU utilization: 39.999999999997726%
Memcached max thread CPU utilization: 41.0000000000025%
Memcached max thread CPU utilization: 40.99999999999682%
Memcached max thread CPU utilization: 41.0000000000025%
Memcached max thread CPU utilization: 18.000000000000682%
Memcached max thread CPU utilization: 17.00000000000159%
Memcached max thread CPU utilization: 17.000000000007276%
Memcached max thread CPU utilization: 16.999999999995907%
Memcached max thread CPU utilization: 17.00000000000159%
Memcached max thread CPU utilization: 5.000000000006821%
Memcached max thread CPU utilization: 5.000000000001137%
Memcached max thread CPU utilization: 5.000000000001137%
Memcached max thread CPU utilization: 4.9999999999954525%
Memcached max thread CPU utilization: 8.000000000004093%
Memcached max thread CPU utilization: 28.999999999996362%
Memcached max thread CPU utilization: 29.999999999995453%
Memcached max thread CPU utilization: 30.000000000001137%
Memcached max thread CPU utilization: 29.999999999995453%
Memcached max thread CPU utilization: 24.000000000006594%
Memcached max thread CPU utilization: 6.999999999999318%
Memcached max thread CPU utilization: 7.000000000005002%
Memcached max thread CPU utilization: 6.999999999999318%
Memcached max thread CPU utilization: 7.000000000005002%
Memcached max thread CPU utilization: 10.99999999999568%
Memcached max thread CPU utilization: 19.999999999998863%
Memcached max thread CPU utilization: 19.000000000005457%
Memcached max thread CPU utilization: 19.000000000005457%
Memcached max thread CPU utilization: 18.999999999999773%
Memcached max thread CPU utilization: 14.999999999997726%
Memcached max thread CPU utilization: 11.000000000001364%
Memcached max thread CPU utilization: 11.000000000001364%
Memcached max thread CPU utilization: 10.000000000002274%
Memcached max thread CPU utilization: 9.000000000003183%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 41.0000000000025%
Memcached max thread CPU utilization: 39.00000000000432%
Memcached max thread CPU utilization: 41.0000000000025%
Memcached max thread CPU utilization: 39.999999999997726%
Memcached max thread CPU utilization: 18.999999999999773%
Memcached max thread CPU utilization: 6.000000000000227%
Memcached max thread CPU utilization: 6.000000000005912%
Memcached max thread CPU utilization: 6.000000000000227%
Memcached max thread CPU utilization: 6.999999999999318%
Memcached max thread CPU utilization: 7.999999999998408%
Memcached max thread CPU utilization: 8.000000000004093%
Memcached max thread CPU utilization: 8.999999999997499%
Memcached max thread CPU utilization: 8.999999999997499%
Memcached max thread CPU utilization: 8.000000000004093%
Memcached max thread CPU utilization: 29.999999999995453%
Memcached max thread CPU utilization: 35.000000000002274%
Memcached max thread CPU utilization: 36.00000000000705%
Memcached max thread CPU utilization: 35.000000000002274%
Memcached max thread CPU utilization: 35.000000000002274%
Memcached max thread CPU utilization: 6.000000000000227%
Memcached max thread CPU utilization: 4.000000000002046%
Memcached max thread CPU utilization: 4.000000000002046%
Memcached max thread CPU utilization: 4.000000000002046%
